iteration_tracking,availability_rate,mean_stock
"[6,11]",0.8603831887837564,196517.26449649647
"[6,12]",0.8625747174297752,197953.52381186924
"[6,13]",0.8628431796889124,198733.95685874863
"[6,14]",0.8615994871822968,197220.42952754613
"[6,15]",0.8645196991031169,199517.56745661725
"[6,16]",0.8723653716558643,213900.14299664737
"[6,17]",0.8857830057911145,240245.9850298284
"[6,18]",0.8954202530119821,265755.042986297
"[6,19]",0.9034631631428712,291318.8121975601
"[7,12]",0.9204584677927471,247224.3762283075
"[7,13]",0.919981810312238,247348.14103409118
"[7,14]",0.9194174916858882,247136.09233850503
"[7,15]",0.922195254244717,249070.4574511378
"[7,16]",0.9237895913346957,251149.14053637336
"[7,17]",0.9280521145512023,264641.1342901023
"[7,18]",0.935925181212025,291488.2029041052
"[7,19]",0.9399028057045491,315007.12396194367
"[8,13]",0.9611332394628563,298945.9148806666
"[8,14]",0.9603497679719046,298387.78089740913
"[8,15]",0.9603881197232099,298922.5321031926
"[8,16]",0.9602401915396037,298226.15356651036
"[8,17]",0.9622728343587861,301054.1968380475
"[8,18]",0.9637959467677691,314717.2346794477
"[8,19]",0.9688309838319974,340466.699468793
"[9,14]",0.9817610028435084,346795.8656864502
"[9,15]",0.9830868776743498,348980.622859357
"[9,16]",0.9838593915220715,349475.99485966103
"[9,17]",0.9817719604867385,348237.35133667756
"[9,18]",0.9837662515546156,351566.6728876669
"[9,19]",0.9850537746341517,366431.8528605738
"[10,15]",0.9935788210671649,398134.95850319264
"[10,16]",0.9934637658132489,398886.1028870583
"[10,17]",0.9933322740944878,397989.31213667756
"[10,18]",0.9935349904942445,397620.953068489
"[10,19]",0.9933815834890232,400747.4724715327
"[11,16]",0.9976769796352201,448099.0086185652
"[11,17]",0.9980769336131184,449946.5528380473
"[11,18]",0.9980111877537379,447816.6987506808
"[11,19]",0.9982303406183398,449508.3704660532
