iteration_tracking,availability_rate,mean_stock
"[14,25]",0.7025492956974814,150444.72725143973
"[14,26]",0.7706236542644408,201488.37880790824
"[14,27]",0.8299592923554002,248357.92883013026
"[14,28]",0.8831422137726618,294924.7948030375
"[14,29]",0.9163055210085415,333317.2314663552
"[14,30]",0.93128461930408,364510.7150337825
"[15,26]",0.7688320795963204,200080.74974489454
"[15,27]",0.8336465393023269,250546.18444108916
"[15,28]",0.8903359065532186,298738.7946770101
"[15,29]",0.9362210375792375,344948.0185074511
"[15,30]",0.9616318122298256,382952.99831597426
"[16,27]",0.8330548265679018,250068.2793616371
"[16,28]",0.8934478772305653,300400.3780139964
"[16,29]",0.9414313969351472,350262.5962115607
"[16,30]",0.9723757814169328,396294.82710501534
"[17,28]",0.8931027114688173,300670.4086550923
"[17,29]",0.9402589291095271,349411.5001512867
"[17,30]",0.9734770245615573,399840.7685132345
"[18,29]",0.9418094356265855,350817.29968005384
"[18,30]",0.9741892713715135,401532.5436693989
"[19,30]",0.9735646857073981,401613.1011762482
