iteration_tracking;;;availability_rate;mean_stock
[10, 18.6];10; 18.6;0,991842035;378365,9912
[10, 18.8];10; 18.8;0,9926529;382662,0599
[10, 19.0];10; 19.0;0,992663858;388916,4888
[10, 19.2];10; 19.2;0,993151473;393692,7352
[10, 19.4];10; 19.4;0,9935843;400000,4378
[10, 19.6];10; 19.6;0,993819889;405002,3882
[10, 19.8];10; 19.8;0,994066436;410346,3597
[10, 20.0];10; 20.0;0,994006169;415323,1222
[10, 20.2];10; 20.2;0,994674585;420548,9488
[10, 20.4];10; 20.4;0,99483895;426955,8143
[10, 20.6];10; 20.6;0,994712937;430516,7883
[10, 20.8];10; 20.8;0,995315608;437324,375
[10, 21.0];10; 21.0;0,995266298;440965,9854
[10, 21.2];10; 21.2;0,995403269;446617,3894
[10, 21.4];10; 21.4;0,995485451;451974,4157
[10, 21.6];10; 21.6;0,995649816;457171,4737
[10, 21.8];10; 21.8;0,995381353;460550,5292
[10, 22.0];10; 22.0;0,995638858;465877,9702
[10, 22.2];10; 22.2;0,995693646;471649,1445
[10, 22.4];10; 22.4;0,995731998;475486,6468
[10, 22.6];10; 22.6;0,995808701;483576,786
[10, 22.8];10; 22.8;0,995704604;486456,9285
[10, 23.0];10; 23.0;0,995989503;492838,6024
[10, 23.2];10; 23.2;0,996088121;496449,3971
[10, 23.4];10; 23.4;0,995934714;500241,0451
[10, 23.6];10; 23.6;0,996137431;507293,118
[10, 23.8];10; 23.8;0,996055248;511096,5925
[10, 24.0];10; 24.0;0,996367541;516957,4843
[11, 16.0];11; 16.0;0,966047742;291380,1208
[11, 16.2];11; 16.2;0,969515837;299979,7237
[11, 16.4];11; 16.4;0,973548249;308844,6461
[11, 16.6];11; 16.6;0,978134023;319116,4028
[11, 16.8];11; 16.8;0,979898203;326730,1991
[11, 17.0];11; 17.0;0,982977301;335605,8387
[11, 17.2];11; 17.2;0,985393462;344185,1468
[11, 17.4];11; 17.4;0,987853452;351902,979
[11, 17.6];11; 17.6;0,990461372;361523,4018
[11, 17.8];11; 17.8;0,990439456;366607,7594
[11, 18.0];11; 18.0;0,992313213;373868,7189
[11, 18.2];11; 18.2;0,993321316;382227,5985
[11, 18.4];11; 18.4;0,994241758;390088,1826
[11, 18.6];11; 18.6;0,994510221;396294,9894
[11, 18.8];11; 18.8;0,995973066;403515,2928
[11, 19.0];11; 19.0;0,996301795;410027,603
[11, 19.2];11; 19.2;0,997025;415853,8961
[11, 19.4];11; 19.4;0,997320856;422064,3084
[11, 19.6];11; 19.6;0,997337293;428455,0803
[11, 19.8];11; 19.8;0,997496179;433721,941
[11, 20.0];11; 20.0;0,997704374;439606,2991
[11, 20.2];11; 20.2;0,998022145;445515,4601
[11, 20.4];11; 20.4;0,998301565;450400,7679
[11, 20.6];11; 20.6;0,998098849;454536,4789
[11, 20.8];11; 20.8;0,998263214;460251,3599
[11, 21.0];11; 21.0;0,998471409;465813,9631
[11, 21.2];11; 21.2;0,998153637;470258,4075
[11, 21.4];11; 21.4;0,998433057;476610,0163
[11, 21.6];11; 21.6;0,998756307;482096,8029
[11, 21.8];11; 21.8;0,998531676;485316,075
[11, 22.0];11; 22.0;0,998564549;490513,113
[11, 22.2];11; 22.2;0,998772744;496856,5144
[11, 22.4];11; 22.4;0,998580985;501354,9035
[11, 22.6];11; 22.6;0,998849447;507424,0545
[11, 22.8];11; 22.8;0,998728913;511723,891
[11, 23.0];11; 23.0;0,998756307;518507,9642
[11, 23.2];11; 23.2;0,998553591;521393,9391
[11, 23.4];11; 23.4;0,998679604;525936,0863
[11, 23.6];11; 23.6;0,99865221;531227,4273
[11, 23.8];11; 23.8;0,99893163;534620,2937
[11, 24.0];11; 24.0;0,99897546;542697,3975
[12, 16.2];12; 16.2;0,969022743;301806,5383
[12, 16.4];12; 16.4;0,972934621;311428,2965
[12, 16.6];12; 16.6;0,976435588;322123,4211
[12, 16.8];12; 16.8;0,980506353;331364,3629
[12, 17.0];12; 17.0;0,984094981;341501,7624
[12, 17.2];12; 17.2;0,986198848;352202,7235
[12, 17.4];12; 17.4;0,988078084;360679,5175
[12, 17.6];12; 17.6;0,990253176;368738,5757
[12, 17.8];12; 17.8;0,99214337;379400,9651
[12, 18.0];12; 18.0;0,992220073;385936,8228
[12, 18.2];12; 18.2;0,993737707;395751,6342
[12, 18.4];12; 18.4;0,994888259;401973,9387
[12, 18.6];12; 18.6;0,99558407;409939,488
[12, 18.8];12; 18.8;0,996548342;418885,2875
[12, 19.0];12; 19.0;0,997375644;425697,2271
[12, 19.2];12; 19.2;0,99739756;432929,705
[12, 19.4];12; 19.4;0,997687937;439581,307
[12, 19.6];12; 19.6;0,998296086;446637,1242
[12, 19.8];12; 19.8;0,99865221;452535,7928
[12, 20.0];12; 20.0;0,998674125;458423,75
[12, 20.2];12; 20.2;0,998706998;464892,3795
