iteration_tracking,availability_rate,mean_stock
"[5.0, 8.0]",0.7398381556094915,-107148.5294057859
"[5.0, 8.5]",0.6878057867313898,-85165.7538878255
"[5.0, 9.0]",0.6213038499679489,-57169.117049317334
"[5.0, 9.5]",0.5653650812783186,-34898.74397519256
"[5.0, 10.0]",0.5027531078615611,-9546.765569561087
"[5.0, 10.5]",0.4450665950767309,14701.644205933482
"[5.0, 11.0]",0.39962524860153076,34837.27840334587
"[5.0, 11.5]",0.35338947299214885,56002.464200758266
"[5.0, 12.0]",0.3165498764525726,74938.98091871857
"[5.5, 6.0]",0.9230280351302041,-207762.21185022985
"[5.5, 6.5]",0.8875143134214694,-183082.92605281735
"[5.5, 7.0]",0.8457711715364259,-158369.18394307623
"[5.5, 7.5]",0.7982588304907381,-134216.96371278726
"[5.5, 8.0]",0.7449005867817949,-109501.13441400508
"[5.5, 8.5]",0.6852088252858575,-84000.44262207208
"[5.5, 9.0]",0.623298141035826,-58936.171120550214
"[5.5, 9.5]",0.5619243813040691,-33773.03969026106
"[5.5, 10.0]",0.5003205110644803,-9156.723366821361
"[5.5, 10.5]",0.44135743284334406,15348.614288125265
"[5.5, 11.0]",0.3854953676563245,39070.127970469155
"[5.5, 11.5]",0.3438344080955068,58637.47561445691
"[5.5, 12.0]",0.2994066436190904,80179.95292967747
"[6.0, 6.5]",0.8880019285452085,-184643.94708295434
"[6.0, 7.0]",0.8454588787043683,-158698.85870472007
"[6.0, 7.5]",0.7974972742862465,-133354.36717032152
"[6.0, 8.0]",0.7459251264238088,-109991.24932907357
"[6.0, 8.5]",0.683280280077361,-82348.81794262002
"[6.0, 9.0]",0.6252924321037031,-59059.04533424884
"[6.0, 9.5]",0.5598479079119663,-32778.46029300078
"[6.0, 10.0]",0.49900559387686894,-8793.9744024378
"[6.0, 10.5]",0.43613611584420425,16871.793027851294
"[6.0, 11.0]",0.38130954794242855,40091.25770745546
"[6.0, 11.5]",0.3243352819675544,65412.08535144321
"[6.0, 12.0]",0.286427315213044,84720.23700091035
"[6.5, 7.0]",0.8450041365103194,-158777.80682526802
"[6.5, 7.5]",0.7985766021444107,-133389.6908525133
"[6.5, 8.0]",0.7418379254989836,-107460.0168687996
"[6.5, 8.5]",0.683976090422472,-83140.58635357892
"[6.5, 9.0]",0.6211175700330372,-57396.32006849542
"[6.5, 9.5]",0.5583138378597531,-32394.568183411746
"[6.5, 10.0]",0.4952580798921768,-7742.442638054237
"[6.5, 10.5]",0.43173662208732144,18332.60067716636
"[6.5, 11.0]",0.3796001555985339,40848.979866359565
"[6.5, 11.5]",0.32224237211060647,66385.66023911446
"[6.5, 12.0]",0.2760285117876847,88767.94355433501
"[7.0, 7.5]",0.7955358561480597,-133301.12427717083
"[7.0, 8.0]",0.7460456604993398,-110035.90452359412
"[7.0, 8.5]",0.6869346540945973,-84772.40387138714
"[7.0, 9.0]",0.623292662214211,-59001.9438767146
"[7.0, 9.5]",0.5590260846697093,-32537.431947795303
"[7.0, 10.0]",0.49598676316697804,-7937.542796958347
"[7.0, 10.5]",0.43160513036856035,18192.442803193757
"[7.0, 11.0]",0.37396792697826553,42994.54833211299
"[7.0, 11.5]",0.31918518964941023,67508.4762226761
"[7.0, 12.0]",0.27158518745788157,90409.92203104735
