iteration_tracking,availability_rate,mean_stock
"[9,20.0]",0.013987431583215082,390257.68288279563
"[9,20.2]",0.012908103725050817,396195.74610587
"[9,20.4]",0.012886188438590627,400067.0410933281
"[9,20.6]",0.013061510730272133,405241.41437667696
"[9,20.8]",0.012223251023169937,411263.36959975143
"[9,21.0]",0.01262320500106837,416086.13888857915
"[9,21.2]",0.01271634496852417,420179.787613024
"[9,21.4]",0.011861648796576833,426146.9977785641
"[9,21.6]",0.011560313607749246,431787.53489204944
"[9,21.8]",0.011757551185890938,436242.4560219732
"[9,22.0]",0.011078177305625107,441951.26420395175
"[9,22.2]",0.011171317273080905,446183.38567360194
"[9,22.4]",0.01173563589943075,450379.6059761283
"[9,22.6]",0.011193232559541093,455989.33638276457
"[9,22.8]",0.010585083360270873,462262.1817044696
"[9,23.0]",0.01053577396573545,467401.49700425635
"[9,23.2]",0.01036593049566899,470862.68418897456
"[9,23.4]",0.010250875241753004,477119.63671067904
"[9,23.6]",0.010376888138899086,481512.1470570411
"[9,23.8]",0.010097468236531687,487056.6959239516
"[9,24.0]",0.009976934161000652,490361.2776949713
"[10,16.0]",0.034363169169575006,286929.7495445925
"[10,16.2]",0.03008968830983832,294565.87807725644
"[10,16.4]",0.027985820809660257,301603.1240948514
"[10,16.6]",0.023274034220719806,310936.6309891588
"[10,16.8]",0.02010727532722262,318029.2649300414
"[10,17.0]",0.01787739492989848,327103.1576270885
"[10,17.2]",0.015998159115937344,331969.22106386186
"[10,17.4]",0.013077947195117274,340833.6227088542
"[10,17.6]",0.013801151648303483,345943.80256206554
"[10,17.8]",0.010974079694939213,353641.54859062
"[10,18.0]",0.01037140931728404,358868.64417533815
"[10,18.2]",0.009505755502106607,365238.46126142633
"[10,18.4]",0.009198941491663972,371629.590900939
"[10,18.6]",0.008157965384805036,378365.99120894505
"[10,18.8]",0.007347099785778075,382662.0599114719
"[10,19.0]",0.007527900899074627,387739.91254824505
"[10,19.2]",0.006848527018808795,393692.735245292
"[10,19.4]",0.006415700111220079,400000.43778343487
"[10,19.6]",0.006180110781773056,405002.3881791127
"[10,19.8]",0.00593356380909594,410346.35968163906
"[10,20.0]",0.005993830846861457,415323.12220334355
"[10,20.2]",0.005325414609825719,420548.9487908015
"[10,20.4]",0.0051610499613743074,426955.8143316842
"[10,20.6]",0.00528706285852039,430516.7882944851
"[10,20.8]",0.004684392480865216,437324.37504632684
"[10,21.0]",0.004733701875400639,440965.98544748337
"[10,21.2]",0.004596731335024463,446617.3893664486
"[10,21.4]",0.004514549010798757,451974.41570733127
"[10,21.6]",0.004350184362347347,457171.4737030084
"[10,21.8]",0.004618646621484651,460550.52924389107
"[10,22.0]",0.0043611420055774406,465877.97020395176
"[10,22.2]",0.00430635378942697,471649.14452839637
"[10,22.4]",0.004268002038121641,475486.64676516934
"[10,22.6]",0.004191298535510982,483576.7859663263
"[10,22.8]",0.004295396146196876,486456.9284825519
"[10,23.0]",0.00401049742221443,492838.60238507827
"[10,23.2]",0.003911878633143583,496449.39708212524
"[10,23.4]",0.0040652856383649,500241.0450504051
"[10,23.6]",0.0038625692386081603,507293.1180433425
"[10,23.8]",0.003944751562833865,511096.59254860913
"[10,24.0]",0.0036324587307761847,516957.48426483414
"[11,16.0]",0.032785268544441463,292860.57696925005
"[11,16.2]",0.030484163466121705,299979.7236662975
"[11,16.4]",0.026451750757447087,308844.6461112897
"[11,16.6]",0.02186597706565272,319116.4028412136
"[11,16.8]",0.020101796505607575,326730.19911634276
"[11,17.0]",0.01794314078927904,333755.02295311587
"[11,17.2]",0.014606538425715397,344185.146822766
"[11,17.4]",0.012146547520559279,351902.97901022405
"[11,17.6]",0.009538628431796889,361523.4018004217
"[11,17.8]",0.009560543718257077,366607.75938514055
"[11,18.0]",0.007916897233742967,375570.5062520505
"[11,18.2]",0.006678683548742337,382227.5985162208
"[11,18.4]",0.005758241517414434,390088.182561213
"[11,18.6]",0.00548977925827713,396294.98939524643
"[11,18.8]",0.0040269338870595715,403515.292760787
"[11,19.0]",0.003720119876616937,409728.0526633135
"[11,19.2]",0.0029750001369705406,415853.89610556606
"[11,19.4]",0.0026791437697580005,422064.30840809253
"[11,19.6]",0.0026627073049128596,428455.0803434962
"[11,19.8]",0.0025038214780764953,433721.9410350637
"[11,20.0]",0.002295626256704708,439606.29910745315
"[11,20.2]",0.00197785460303198,445515.4601277878
"[11,20.4]",0.001698434700664581,450400.7679316842
"[11,20.6]",0.0019011511004213214,454536.478875307
"[11,20.8]",0.0017367864519699102,460251.3598518063
"[11,21.0]",0.001528591230598123,465813.9631022779
"[11,21.2]",0.001846362884270851,470258.4075034349
"[11,21.4]",0.0015669429819034522,476610.016310071
"[11,21.6]",0.0012436925066156772,482096.8028920495
"[11,21.8]",0.0014683241928326056,485316.0749973157
"[11,22.0]",0.0014354512631423234,490513.11295463657
"[11,22.2]",0.001227256041770536,496856.51444072515
"[11,22.4]",0.0014190147982971822,501354.90352681314
"[11,22.6]",0.0011505525391598775,507424.0544978332
"[11,22.8]",0.0012710866146909124,511723.8910304971
